team,Games played defender,Games played midfielder,Games played forward,Yellow Cards defender,Yellow Cards midfielder,Yellow Cards forward,Red Cards defender,Red Cards midfielder,Red Cards forward,Second Yellows defender,Second Yellows midfielder,Second Yellows forward,Goals scored defender,Goals scored midfielder,Goals scored forward,Penalties scored defender,Penalties scored midfielder,Penalties scored forward,Own goals defender,Own goals midfielder,Own goals forward,Goals conceded while player on pitch defender,Goals conceded while player on pitch midfielder,Goals conceded while player on pitch forward,Tackles defender,Tackles midfielder,Tackles forward,Interceptions defender,Interceptions midfielder,Interceptions forward,Recoveries defender,Recoveries midfielder,Recoveries forward,Clearances defender,Clearances midfielder,Clearances forward,Successful tackles defender,Successful tackles midfielder,Successful tackles forward,Unssuccessful tackles defender,Unssuccessful tackles midfielder,Unssuccessful tackles forward,Last man defender,Last man midfielder,Last man forward,Successful duels defender,Successful duels midfielder,Successful duels forward,Duels lost defender,Duels lost midfielder,Duels lost forward,Successful aerial challenges defender,Successful aerial challenges midfielder,Successful aerial challenges forward,Unsuccessful aerial challenges defender,Unsuccessful aerial challenges midfielder,Unsuccessful aerial challenges forward,Offsides defender,Offsides midfielder,Offsides forward,Fouls suffered defender,Fouls suffered midfielder,Fouls suffered forward,Fouls committed defender,Fouls committed midfielder,Fouls committed forward,Penalties won defender,Penalties won midfielder,Penalties won forward,Penalties given away defender,Penalties given away midfielder,Penalties given away forward,Handballs committed defender,Handballs committed midfielder,Handballs committed forward,Fouls committed per card defender,Fouls committed per card midfielder,Fouls committed per card forward,Shots defender,Shots midfielder,Shots forward,Shots on target defender,Shots on target midfielder,Shots on target forward,Assists defender,Assists midfielder,Assists forward,Successful dribbles defender,Successful dribbles midfielder,Successful dribbles forward,Unsuccessful dribbles defender,Unsuccessful dribbles midfielder,Unsuccessful dribbles forward,Goals scored.1 defender,Goals scored.1 midfielder,Goals scored.1 forward,From inside the area defender,From inside the area midfielder,From inside the area forward,From outside the area defender,From outside the area midfielder,From outside the area forward,Goals with left foot defender,Goals with left foot midfielder,Goals with left foot forward,Goals with right foot defender,Goals with right foot midfielder,Goals with right foot forward,Penalties scored.1 defender,Penalties scored.1 midfielder,Penalties scored.1 forward,Goals scored with header defender,Goals scored with header midfielder,Goals scored with header forward,Goals from set piece defender,Goals from set piece midfielder,Goals from set piece forward,Crosses defender,Crosses midfielder,Crosses forward,Corners defender,Corners midfielder,Corners forward,Tackles.1 defender,Tackles.1 midfielder,Tackles.1 forward,Duels defender,Duels midfielder,Duels forward,Man-to-man duels defender,Man-to-man duels midfielder,Man-to-man duels forward,Aerial duels defender,Aerial duels midfielder,Aerial duels forward,Passes defender,Passes midfielder,Passes forward,Short passes defender,Short passes midfielder,Short passes forward,Long passes defender,Long passes midfielder,Long passes forward,Through balls defender,Through balls midfielder,Through balls forward,Goals scored per attempt defender,Goals scored per attempt midfielder,Goals scored per attempt forward
Athletic Club,123,218,103,34,54,14,0,3,0,0,1,0,0,16,23,0,2,3,0,0,0,119,188,90,50,28,5,186,190,20,505,978,263,405,230,39,100,206,39,80,143,23,2,2,0,278,615,315,235,785,338,314,396,144,212,304,196,3,31,35,93,170,141,130,293,100,2,1,3,3,1,1,3,13,9,66,137,16,48,152,98,13,69,57,0,16,8,21,112,116,10,123,89,0,13,23,0,3,0,0,3,2,0,9,20,0,2,3,0,4,1,0,1,0,0,0,0,49,358,64,2,115,18,180,351,62,1039,2100,993,513,1400,653,526,700,340,1507.7240000000002,3316.59,963.187,1321.125,3886.214,939.126,773,789,67,12,16,18,0,9,15
Atlético de Madrid,141,129,136,33,30,22,1,2,1,1,2,0,6,13,28,0,0,3,1,1,0,93,89,71,53,31,3,193,164,53,653,804,347,454,192,50,142,214,72,92,122,44,0,0,0,377,560,382,247,479,425,235,228,163,148,152,233,7,10,49,93,128,151,117,179,112,0,1,0,3,1,0,3,7,12,49,60,41,46,109,151,18,40,87,7,10,16,58,100,120,23,33,94,6,7,22,0,6,6,0,4,17,3,8,6,0,0,3,3,1,4,0,0,3,1,1,0,114,106,101,0,104,111,234,336,116,1007,1419,1203,624,1039,807,383,380,396,2703.334,6.677999999999999,1910.388,3110.1639999999998,6.090999999999999,1820.287,760,560,157,2,27,34,6,9,16
CD Leganés,166,162,116,35,30,21,2,2,0,1,1,0,3,10,20,0,2,1,0,0,1,161,140,78,57,19,5,237,135,22,742,756,206,571,99,57,157,143,32,90,90,28,1,0,0,391,481,215,293,596,315,304,180,421,187,177,366,7,7,58,100,151,104,152,201,125,0,2,1,4,0,0,3,7,13,56,78,39,43,105,167,13,49,62,3,5,11,55,108,61,37,91,69,3,9,19,0,1,1,0,3,8,2,4,6,0,2,1,1,3,6,0,0,0,0,0,1,232,187,49,6,105,1,247,233,61,1175,1434,1317,684,1077,530,491,357,787,3693.35,3252.347,1558.0,2978.017,2929.113,1486.0,1047,548,65,1,9,7,3,7,8
D. Alavés,133,171,125,31,36,16,1,0,0,0,0,0,4,11,17,0,0,2,0,1,0,163,163,104,61,24,12,190,122,18,563,910,232,488,148,78,146,156,39,110,102,24,3,0,0,441,598,244,264,650,366,262,223,290,171,230,379,2,20,31,144,209,125,119,234,151,0,0,2,3,2,0,4,7,11,44,86,29,43,124,116,16,48,41,4,13,4,51,136,67,34,113,52,4,8,16,0,3,1,1,6,2,1,3,10,0,0,2,2,1,5,0,2,0,0,1,0,178,302,91,7,106,11,256,259,63,1138,1701,1279,705,1248,610,433,453,669,3567.0,3313.054,1564.0,2790.0,3884.0,1482.0,775,467,80,2,15,2,4,9,10
FC Barcelona,128,185,80,25,29,7,1,1,0,0,1,0,4,13,30,0,0,4,1,0,0,103,119,54,38,24,4,157,158,15,567,766,162,205,79,30,107,159,30,65,86,17,1,0,0,328,592,255,272,504,290,130,146,40,133,140,38,15,12,47,100,246,97,110,169,61,3,1,3,1,0,0,2,12,5,41,45,10,30,118,139,11,59,82,15,16,13,58,105,114,31,72,103,4,12,27,0,1,3,2,3,9,1,9,19,0,0,4,1,1,2,0,0,0,1,0,0,97,46,88,1,78,62,172,245,47,863,1382,623,600,1096,545,263,286,78,630.203,727.096,2231.0,583.822,680.467,2107.0,408,639,103,19,36,21,4,9,13
Getafe CF,115,154,72,27,26,12,2,1,0,2,0,0,6,4,28,0,0,6,1,1,0,89,105,51,35,26,0,142,138,24,502,588,198,435,83,52,74,115,30,68,88,12,0,0,0,264,453,180,294,474,271,267,186,192,219,213,279,5,5,51,73,150,97,151,160,126,0,3,0,1,2,0,5,11,18,55,47,32,55,69,88,18,28,49,6,8,11,55,110,46,45,86,56,5,3,25,1,1,3,2,1,5,1,2,23,0,0,6,3,1,0,0,0,0,1,1,0,169,92,72,46,27,0,142,203,42,1044,1326,922,558,927,451,486,399,471,2738.0,2842.0,1384.0,1900.0,2453.0,1310.0,837,374,58,1,15,16,5,4,18
Girona FC,162,221,103,36,22,18,2,1,1,2,0,0,3,4,30,0,0,6,1,0,0,196,226,105,87,35,3,216,200,16,667,1058,208,640,162,42,135,191,43,77,145,24,1,0,0,334,831,256,258,758,393,418,177,172,267,239,279,8,8,44,84,308,131,154,213,167,0,0,3,6,2,0,5,13,7,70,56,56,66,122,132,23,45,78,6,15,2,49,197,63,20,130,67,3,2,30,0,2,0,0,0,2,0,4,20,0,0,6,3,0,8,0,1,0,1,0,0,178,363,86,11,126,0,213,336,67,1277,2005,1100,592,1589,649,685,416,451,3173.94,2050.851,1374.0,2691.508,2724.301,1317.0,912,843,52,2,32,5,3,3,16
Levante UD,164,195,91,39,48,6,3,3,0,2,3,0,12,25,17,0,3,2,2,0,0,234,270,92,106,24,4,197,173,22,733,922,164,487,156,23,132,191,18,66,105,13,0,2,1,381,803,157,378,1005,230,218,155,57,222,191,124,13,35,28,119,256,77,157,244,70,0,4,2,3,5,1,5,10,11,59,91,6,51,169,91,21,82,52,6,29,4,75,259,55,67,214,54,11,21,17,1,4,0,3,9,4,4,13,12,0,3,2,5,3,1,0,1,0,2,0,0,169,274,54,3,198,0,198,297,33,1199,2154,568,759,1808,387,440,346,181,3683.0950000000003,2708.96,988.0,3962.0,3319.6949999999997,910.0,813,626,72,2,27,6,11,15,11
R. Valladolid CF,108,228,38,17,49,2,0,0,0,0,0,0,3,15,3,0,1,0,1,0,0,125,225,39,43,21,3,109,164,8,443,1005,56,315,164,19,91,225,16,44,149,9,2,0,0,258,843,85,190,841,121,149,194,59,148,303,119,6,47,17,82,301,41,66,299,44,0,2,4,3,4,0,4,14,3,23,109,4,25,185,49,7,78,21,1,12,1,50,175,20,19,110,26,2,9,3,1,6,0,0,5,2,2,9,0,0,1,0,1,1,0,0,3,0,1,0,0,137,352,27,0,207,0,135,374,25,745,2181,384,448,1684,206,297,497,178,1747.349,2976.316,526.0,1473.196,2707.764,497.0,425,810,27,2,10,2,3,11,2
Rayo Vallecano,175,204,103,38,42,13,4,2,2,2,1,2,4,16,20,0,1,4,1,0,0,291,259,136,52,16,8,251,125,56,894,736,327,632,134,68,217,130,72,107,76,49,3,0,0,609,621,371,494,655,493,278,156,103,253,188,161,11,26,31,149,176,119,224,183,155,2,1,2,9,1,1,7,7,16,87,81,39,58,130,148,25,53,72,7,5,12,143,247,133,77,123,116,4,10,16,0,6,4,0,4,8,3,9,11,0,1,4,1,3,1,0,0,1,1,0,0,187,276,171,0,81,105,325,206,121,1634,1620,1128,1103,1276,864,531,344,264,2788.431,4162.067,1957.0,4167.073,4721.0,1799.0,969,491,143,8,16,15,4,13,11
