0,1,2,3,4,5,6,7,8
Ath Bilbao,3,39,5,16.43,57.52,40.71,24.95,1.14
Ath Madrid,4,47,3,25.18,77.59,36.82,24,1.82
Leganes,4,33,3,13.83,45.38,38.42,19.92,0.75
Alaves,1,32,2,17.05,64.15,38.85,25.2,1.15
Barcelona,2,47,4,15.58,61.84,16.68,17.89,1.37
Getafe,3,38,6,14.6,59.8,43,29.13,1.8
Mallorca,4,37,6,16.77,64.86,35.23,24.27,1
Levante,6,54,5,17.05,67.05,21.5,23.55,1.85
Valladolid,0,21,1,18.44,65.89,22.33,22.72,0.89
Granada,8,40,5,17.46,66.71,22.38,23.42,1.17
Celta,5,51,7,16.85,68.25,30.85,21.15,1.45
Espanol,2,41,3,17.24,63.48,25.81,23.19,1.29
Betis,1,30,2,12.76,59.41,17,16.59,1.18
Real Madrid,6,61,9,17.17,69.48,21.13,19.26,1.48
Sociedad,2,36,8,13.76,59.62,28.33,17.67,1.14
Eibar,1,45,7,22.11,71.11,53.28,27.67,1.61
Osasuna,3,38,4,19.47,59.74,33.21,26,1.26
Sevilla,5,60,5,17.78,60,28.61,23.09,1.43
Valencia,3,52,5,20.7,74.05,31.95,24.2,1.85
Villarreal,3,46,3,18.68,62.41,28.73,23,1.36
